nativity,Sex,Group,Year,Life Expectancy
Total,Total,Total,2017,79.7
Total,Total,Total,2018,79.9
Total,Total,Total,2019,80
Total,Total,Total,2020,80.2
Total,Total,Total,2021,80.4
Total,Total,Total,2022,80.5
Total,Total,Total,2023,80.7
Total,Total,Total,2024,80.8
Total,Total,Total,2025,81
Total,Total,Total,2026,81.1
Total,Total,Total,2027,81.3
Total,Total,Total,2028,81.4
Total,Total,Total,2029,81.6
Total,Total,Total,2030,81.7
Total,Total,Total,2031,81.9
Total,Total,Total,2032,82
Total,Total,Total,2033,82.2
Total,Total,Total,2034,82.3
Total,Total,Total,2035,82.5
Total,Total,Total,2036,82.6
Total,Total,Total,2037,82.7
Total,Total,Total,2038,82.9
Total,Total,Total,2039,83
Total,Total,Total,2040,83.1
Total,Total,Total,2041,83.3
Total,Total,Total,2042,83.4
Total,Total,Total,2043,83.5
Total,Total,Total,2044,83.7
Total,Total,Total,2045,83.8
Total,Total,Total,2046,83.9
Total,Total,Total,2047,84
Total,Total,Total,2048,84.2
Total,Total,Total,2049,84.3
Total,Total,Total,2050,84.4
Total,Total,Total,2051,84.5
Total,Total,Total,2052,84.7
Total,Total,Total,2053,84.8
Total,Total,Total,2054,84.9
Total,Total,Total,2055,85
Total,Total,Total,2056,85.1
Total,Total,Total,2057,85.2
Total,Total,Total,2058,85.4
Total,Total,Total,2059,85.5
Total,Total,Total,2060,85.6
